repoName,id,title,url_x,lockReason,timelineCount,labels,fixUrl,fixUrlCount,tf_idf,nameWithOwner,owner,name,url_y,description,stars,primaryLanguage,updatedAt,createdAt,issuesCount,forkCount,watchersCount,discussionsCount
googleapis/google-api-python-client,MDU6SXNzdWU2ODMyMjQyODY=,HttpLib2 Missing Header Error When Timezone Is Incorrect,https://github.com/googleapis/google-api-python-client/issues/1006,,35,"['type: bug', 'priority: p2', ':rotating_light:']",https://github.com/ostrokach/uniparc_xml_parser/commit/7aed9d82c2a72ec1bad748a449a2b8418dbe3980,1,0.0164602509731013,googleapis/google-api-python-client,googleapis,google-api-python-client,https://github.com/googleapis/google-api-python-client,🐍 The official Python client library for Google's discovery based APIs.,7510,Python,2024-06-13T07:52:26Z,2014-01-08T21:55:56Z,1054,2368,281,28
googleapis/google-cloud-python,MDU6SXNzdWUyODIwMzA5OA==,datetime property,https://github.com/googleapis/google-cloud-python/issues/50,,97,"['type: bug', 'api: datastore', ':rotating_light:', 'triage me']",https://github.com/jgeewax/gcloud-python/commit/f6979f5d099c9e54695df4c86614595eb6f50041,88,0.052693902816113,googleapis/google-cloud-python,googleapis,google-cloud-python,https://github.com/googleapis/google-cloud-python,Google Cloud Client Library for Python,4704,Python,2024-06-13T07:42:19Z,2014-01-28T15:51:47Z,3782,1498,298,3
googleapis/google-cloud-python,MDU6SXNzdWU2NzcwNTMwMw==,Unify conversion of datetime <--> timestamp strings,https://github.com/googleapis/google-cloud-python/issues/818,,9,"['api: storage', 'api: pubsub']",https://github.com/googleapis/google-cloud-python/pull/816,4,0.0,googleapis/google-cloud-python,googleapis,google-cloud-python,https://github.com/googleapis/google-cloud-python,Google Cloud Client Library for Python,4704,Python,2024-06-13T07:42:19Z,2014-01-28T15:51:47Z,3782,1498,298,3
googleapis/google-cloud-python,MDU6SXNzdWUxNTAxNzYzNDU=,Review the datetime helpers in gcloud._helpers.,https://github.com/googleapis/google-cloud-python/issues/1732,,20,"['api: core', 'priority: p2']",https://github.com/googleapis/google-cloud-python/pull/1691,1,0.2868089983300075,googleapis/google-cloud-python,googleapis,google-cloud-python,https://github.com/googleapis/google-cloud-python,Google Cloud Client Library for Python,4704,Python,2024-06-13T07:42:19Z,2014-01-28T15:51:47Z,3782,1498,298,3
googleapis/google-cloud-python,MDU6SXNzdWUxMDc1OTUxMjg=,Consolidate parsing of RFC 3339 datetime strings,https://github.com/googleapis/google-cloud-python/issues/1146,,7,[],https://github.com/googleapis/google-cloud-python/pull/1145,5,0.0,googleapis/google-cloud-python,googleapis,google-cloud-python,https://github.com/googleapis/google-cloud-python,Google Cloud Client Library for Python,4704,Python,2024-06-13T07:42:19Z,2014-01-28T15:51:47Z,3782,1498,298,3
googleapis/google-cloud-python,MDU6SXNzdWU0NjQ1ODczMQ==,DISCUSSION: Should deserialized timestamps have a timezone?,https://github.com/googleapis/google-cloud-python/issues/279,,62,"['type: question', 'api: datastore']",https://github.com/dhermes/google-cloud-python/commit/b1b2aec3af0959a85ab1a3015e8c82468698120b,48,0.4005291578798052,googleapis/google-cloud-python,googleapis,google-cloud-python,https://github.com/googleapis/google-cloud-python,Google Cloud Client Library for Python,4704,Python,2024-06-13T07:42:19Z,2014-01-28T15:51:47Z,3782,1498,298,3
googleapis/google-cloud-python,MDU6SXNzdWUyOTQ0NDUyMQ==,attribute 'timedelta'  Datetime property when performance a Query,https://github.com/googleapis/google-cloud-python/issues/61,,122,"['api: datastore', ':rotating_light:', 'triage me']",https://github.com/jgeewax/gcloud-python/commit/755a94d83e22129ac6172ea9d3c95b845b7bb215,95,0.0,googleapis/google-cloud-python,googleapis,google-cloud-python,https://github.com/googleapis/google-cloud-python,Google Cloud Client Library for Python,4704,Python,2024-06-13T07:42:19Z,2014-01-28T15:51:47Z,3782,1498,298,3
googleapis/google-cloud-python,MDU6SXNzdWUyNTI3MzM0NzQ=,BigQuery: Parsing fails if timestamps or datetimes include microsecond part,https://github.com/googleapis/google-cloud-python/issues/3870,,30,"['type: bug', 'api: bigquery']",https://github.com/googleapis/google-cloud-python/pull/3804,4,0.0408646294465488,googleapis/google-cloud-python,googleapis,google-cloud-python,https://github.com/googleapis/google-cloud-python,Google Cloud Client Library for Python,4704,Python,2024-06-13T07:42:19Z,2014-01-28T15:51:47Z,3782,1498,298,3
googleapis/google-cloud-python,MDU6SXNzdWU0Mjg5MzAwNQ==,gcloud.datastore.helpers.get_value_from_protobuf() returns naive datetimes,https://github.com/googleapis/google-cloud-python/issues/131,,94,"['type: question', 'api: datastore']",https://github.com/googleapis/google-cloud-python/pull/181,86,0.0,googleapis/google-cloud-python,googleapis,google-cloud-python,https://github.com/googleapis/google-cloud-python,Google Cloud Client Library for Python,4704,Python,2024-06-13T07:42:19Z,2014-01-28T15:51:47Z,3782,1498,298,3
googleapis/google-cloud-python,MDU6SXNzdWU1Mzk4NDM5OTg=,BigQuery: DATETIME columns invalid when uploaded with `load_table_from_dataframe`,https://github.com/googleapis/google-cloud-python/issues/9996,,43,"['type: bug', 'api: bigquery', 'backend', 'priority: p2']",https://github.com/googleapis/google-cloud-python/pull/10028,2,0.2318901674379377,googleapis/google-cloud-python,googleapis,google-cloud-python,https://github.com/googleapis/google-cloud-python,Google Cloud Client Library for Python,4704,Python,2024-06-13T07:42:19Z,2014-01-28T15:51:47Z,3782,1498,298,3
